field_name,actual_sales,last_year_sales,goal,difference,percentage
Passport Photos,897.76,1065.56,1278.67,-380.91,-29.79
Albums,452.48,734.68,881.62,-429.14,-48.68
Frames,1203.83,1464.65,1757.58,-553.75,-31.51
Instant Prints,1003.81,452.14,542.57,461.24,85.01
Film,739.45,898.77,1078.52,-339.07,-31.44
Driving License Photos,920.68,869.69,1043.63,-122.95,-11.78
Visa Photos,892.69,905.52,1086.62,-193.93,-17.85
Other ID Photos,841.92,1280.02,1536.02,-694.1,-45.19
Passport Photo (Express),800.62,1183.88,1420.66,-620.04,-43.64
Digital Passport Photo,810.55,879.13,1054.96,-244.41,-23.17
Document Printing,1157.82,1233.57,1480.28,-322.46,-21.78
Lamination Services,1264.7,1149.21,1379.05,-114.35,-8.29
Binding Services,1543.77,974.13,1168.96,374.81,32.06
Scanning Documents,1020.43,1055.01,1266.01,-245.58,-19.4
Photogifts,919.69,904.45,1085.34,-165.65,-15.26
Personalized Greeting Cards,1195.01,524.6,629.52,565.49,89.83
Poster Prints,1126.8,897.17,1076.6,50.2,4.66
Canvas Prints,1083.35,945.39,1134.47,-51.12,-4.51
Acrylic Panels,1152.0,714.97,857.96,294.04,34.27
Metal Prints,1069.15,1212.94,1455.53,-386.38,-26.55
Collage Frames,936.86,954.82,1145.78,-208.92,-18.23
Film Developing,911.43,891.2,1069.44,-158.01,-14.78
Film Scanning,1415.91,1203.35,1444.02,-28.11,-1.95
Slide & Negative Scanning,1177.11,729.65,875.58,301.53,34.44
Photo Restoration & Editing,798.92,1000.39,1200.47,-401.55,-33.45
ID Badge Printing,997.1,606.78,728.14,268.96,36.94
Photo to Digital Conversion,1151.23,853.2,1023.84,127.39,12.44
